City,State,Venue,Address,Time,Host,HostType,EventbriteURL,Status,Paused,Latitude,Longitude,EventbriteID,LastSynced,Notes,EventID,FirstAdded,Last Updated
Birmingham,AL,Texas Roadhouse,"60 Drivers Mart Way, Pelham, AL 35124",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-birmingham-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998779982734?aff=oddtdtcreator,Live,No,33.339564,-86.7815464,1998779982734,,Seeded from Eventbrite page on 2026-09-02,,,
Huntsville,AL,Mellow Mushroom Huntsville,"470 Providence Main Street Northwest, Huntsville, AL 35806",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-huntsville-a-nationwide-day-of-volunteering-tickets-1998954219882?aff=oddtdtcreator,Live,No,34.7543565,-86.6918105,1998954219882,,Seeded from Eventbrite page on 2026-09-02,,,
Gilbert,AZ,,,,,One-day host,,Coming soon,No,33.35276,-111.78904,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Scottsdale,AZ,Fate Brewing Company - Scottsdale,"1312 North Scottsdale Road, Scottsdale, AZ 85257",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-scottsdale-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998746817536?aff=oddtdtcreator,Live,No,33.46278,-111.9267155,1998746817536,,Seeded from Eventbrite page on 2026-09-02,,,
Los Angeles,CA,C&O Restaurants,"3016 Washington Boulevard, Marina del Rey, CA 90292",8:30 AM - 10:30 AM,,One-day host,https://www.eventbrite.com/e/feed-the-country-los-angeles-a-nationwide-day-of-volunteering-tickets-1998937929156?aff=oddtdtcreator,Live,No,33.9893766,-118.4504082,1998937929156,,Seeded from Eventbrite page on 2026-09-02,,,
Denver,CO,Windfall Brewing Co.,"14694 Orchard Parkway, #Suite 400, Westminster, CO 80023",8:00 AM - 10:00 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-denver-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998758551633?aff=oddtdtcreator,Live,No,39.9625829,-104.9929266,1998758551633,,Seeded from Eventbrite page on 2026-09-02,,,
Littleton,CO,Chili's Grill & Bar,"8454 South Kipling Parkway, Littleton, CO 80127",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-littleton-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998746275916?aff=oddtdtcreator,Live,No,39.562739,-105.109393,1998746275916,,Seeded from Eventbrite page on 2026-09-02,,,
Danbury,CT,,,,,One-day host,,Coming soon,No,41.39482,-73.45401,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Miami,FL,,,,,One-day host,,Coming soon,No,25.77416,-80.1936,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Ocala,FL,,,,,One-day host,,Coming soon,No,29.1872,-82.14009,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Alpharetta,GA,Lazy Dog Restaurant & Bar,"10800 Haynes Bridge Road, Alpharetta, GA 30022",8:00 AM - 10:00 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-alpharetta-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998840839759?aff=oddtdtcreator,Live,No,34.0491138,-84.28693299999999,1998840839759,,Seeded from Eventbrite page on 2026-09-02,,,
Wichita,KS,O'Briens Irish Pub,"5205 East Kellogg Drive, #101, Wichita, KS 67218",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-wichita-a-nationwide-day-of-volunteering-to-pack-meals-tickets-1998746533687?aff=oddtdtcreator,Live,No,37.6788195,-97.27549979999999,1998746533687,,Seeded from Eventbrite page on 2026-09-02,,,
Elizabethtown,KY,Boombozz Craft Pizza & Taphouse - Elizabethtown,"135 The Loop, Elizabethtown, KY 42701",8:30 AM - 10:30 AM,,Monthly chapter,https://www.eventbrite.com/e/feed-the-country-elizabethtown-a-nationwide-day-of-volunteering-tickets-1998879956759?aff=oddtdtcreator,Live,No,37.7158628,-85.8303985,1998879956759,,Seeded from Eventbrite page on 2026-09-02,,,
Jackson,MS,,,,,One-day host,,Coming soon,No,32.29987,-90.18304,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Howell Township,NJ,,,,,One-day host,,Coming soon,No,40.1413,-74.22366,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Selden (Long Island),NY,,,,,One-day host,,Coming soon,No,40.87124,-73.04542,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Vestal,NY,,,,,One-day host,,Coming soon,No,42.08507,-76.05381,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
Lawton,OK,Texas Roadhouse,"2512 Northwest Cache Road, Lawton, OK 73505",8:30 AM - 10:30 AM,,One-day host,https://www.eventbrite.com/e/feed-the-country-lawton-a-nationwide-day-of-volunteering-tickets-1999286307164?aff=oddtdtcreator,Live,No,34.6228637,-98.42727479999999,1999286307164,,Seeded from Eventbrite page on 2026-09-02,,,
Oklahoma City,OK,,,,,One-day host,,Coming soon,No,35.47299,-97.51705,,,Listed on tangocharities.org/country without a link on 2026-09-02,,,
